round	timestamp	seeds_tried	extensions_found	kept_above_threshold	total_deep_chains	elapsed_s
106	2026-03-30T13:09:36.175955	20	168	151	100	0.2
107	2026-03-30T13:09:36.443744	20	211	179	100	0.2
108	2026-03-30T13:09:36.515255	20	143	77	100	0.1
109	2026-03-30T13:09:36.556894	20	74	54	100	0.0
110	2026-03-30T13:09:36.568892	20	15	10	100	0.0
111	2026-03-30T13:09:36.630574	20	121	44	100	0.1
112	2026-03-30T13:09:36.787161	20	200	144	100	0.1
113	2026-03-30T13:09:36.824330	20	84	51	100	0.0
114	2026-03-30T13:09:36.890998	20	121	105	100	0.1
115	2026-03-30T13:09:36.943606	20	149	119	100	0.0
116	2026-03-30T13:09:37.011732	20	185	31	100	0.1
117	2026-03-30T13:09:37.070328	20	144	125	100	0.1
118	2026-03-30T13:09:37.088747	20	153	51	100	0.0
119	2026-03-30T13:09:37.266752	20	209	127	100	0.2
120	2026-03-30T13:09:37.441620	20	207	173	100	0.2
121	2026-03-30T13:09:37.642164	20	177	155	100	0.2
122	2026-03-30T13:09:37.667439	20	44	21	100	0.0
123	2026-03-30T13:09:37.699817	20	106	20	100	0.0
124	2026-03-30T13:09:37.805818	20	78	72	100	0.1
125	2026-03-30T13:09:38.205600	20	364	332	100	0.4
126	2026-03-30T13:09:38.368579	20	153	132	100	0.1
127	2026-03-30T13:09:38.548907	20	230	219	100	0.2
128	2026-03-30T13:09:38.563264	20	39	25	100	0.0
129	2026-03-30T13:09:38.604655	20	128	47	100	0.0
130	2026-03-30T13:09:38.686102	20	141	112	100	0.1
131	2026-03-30T13:09:38.967248	20	164	132	100	0.3
132	2026-03-30T13:09:39.124967	20	216	137	100	0.1
133	2026-03-30T13:09:39.222107	20	141	33	100	0.1
134	2026-03-30T13:09:39.266328	20	61	41	100	0.0
135	2026-03-30T13:09:39.384661	20	208	177	100	0.1
136	2026-03-30T13:09:39.481976	20	141	111	100	0.1
137	2026-03-30T13:09:39.544907	20	155	50	100	0.0
138	2026-03-30T13:09:39.854521	20	330	180	100	0.3
139	2026-03-30T13:09:40.068691	20	283	203	100	0.2
140	2026-03-30T13:09:40.131660	20	173	101	100	0.1
141	2026-03-30T13:09:40.189680	20	74	54	100	0.0
