verseId,root,count,positions,forms
2:20,ظلم,1,[11],"[""أَظْلَمَ""]"
2:20,شيأ,2,"[15, 24]","[""شَآءَ"", ""شَىْءٍ""]"
2:20,ذهب,1,[17],"[""ذَهَبَ""]"
2:20,سمع,1,[18],"[""سَمْعِ""]"
2:20,قدر,1,[25],"[""قَدِيرٌ""]"
2:21,أنس,1,[2],"[""نَّاسُ""]"
2:21,عبد,1,[3],"[""ٱعْبُدُ""]"
2:21,خلق,1,[6],"[""خَلَقَ""]"
2:21,قبل,1,[9],"[""قَبْلِ""]"
2:21,وقي,1,[11],"[""تَتَّقُ""]"
2:22,جعل,2,"[2, 19]","[""تَجْعَلُ"", ""جَعَلَ""]"
2:22,أرض,1,[4],"[""أَرْضَ""]"
2:22,فرش,1,[5],"[""فِرَٰشًا""]"
2:22,سمو,2,"[6, 10]","[""سَّمَآءَ"", ""سَّمَآءِ""]"
2:22,بني,1,[7],"[""بِنَآءً""]"
2:22,نزل,1,[8],"[""أَنزَلَ""]"
2:22,موه,1,[11],"[""مَآءً""]"
2:22,خرج,1,[12],"[""أَخْرَجَ""]"
2:22,ثمر,1,[15],"[""ثَّمَرَٰتِ""]"
2:22,رزق,1,[16],"[""رِزْقًا""]"
2:22,ندد,1,[21],"[""أَندَادًا""]"
2:23,ريب,1,[4],"[""رَيْبٍ""]"
2:23,نزل,1,[6],"[""نَزَّلْ""]"
2:23,عبد,1,[8],"[""عَبْدِ""]"
2:23,أتي,1,[9],"[""أْتُ""]"
2:23,سور,1,[10],"[""سُورَةٍ""]"
2:23,مثل,1,[12],"[""مِّثْلِ""]"
2:23,دعو,1,[13],"[""ٱدْعُ""]"
2:23,شهد,1,[14],"[""شُهَدَآءَ""]"
2:23,دون,1,[16],"[""دُونِ""]"
2:23,صدق,1,[20],"[""صَٰدِقِينَ""]"
2:24,فعل,2,"[3, 5]","[""تَفْعَلُ""]"
2:24,وقي,1,[6],"[""ٱتَّقُ""]"
2:24,نور,1,[7],"[""نَّارَ""]"
2:24,وقد,1,[9],"[""وَقُودُ""]"
2:24,أنس,1,[10],"[""نَّاسُ""]"
2:24,حجر,1,[11],"[""حِجَارَةُ""]"
2:24,عدد,1,[12],"[""أُعِدَّتْ""]"
2:24,كفر,1,[13],"[""كَٰفِرِينَ""]"
2:25,بشر,1,[1],"[""بَشِّرِ""]"
